Project ID = 1192, Project Name = CV2019_PROJECT_TEAM04, Image ID = 14297, Image Name = line_sudoku_00031.png, Width = 774, Height = 1376
Project ID = 1192, Project Name = CV2019_PROJECT_TEAM04, Image ID = 14296, Image Name = line_soccer_00183.png, Width = 1320, Height = 720
Project ID = 1192, Project Name = CV2019_PROJECT_TEAM04, Image ID = 14264, Image Name = line_soccer_00192.png, Width = 1320, Height = 720
Project ID = 1192, Project Name = CV2019_PROJECT_TEAM04, Image ID = 14261, Image Name = line_sudoku_00029.png, Width = 774, Height = 1376
Project ID = 1192, Project Name = CV2019_PROJECT_TEAM04, Image ID = 14257, Image Name = line_soccer_00195.png, Width = 1320, Height = 720
Project ID = 1192, Project Name = CV2019_PROJECT_TEAM04, Image ID = 14219, Image Name = line_image.000365.png, Width = 1156, Height = 876
Project ID = 1192, Project Name = CV2019_PROJECT_TEAM04, Image ID = 14204, Image Name = line_sudoku_00028.png, Width = 774, Height = 1376
Project ID = 1192, Project Name = CV2019_PROJECT_TEAM04, Image ID = 14191, Image Name = line_sudoku_00184.png, Width = 774, Height = 1376
Project ID = 1192, Project Name = CV2019_PROJECT_TEAM04, Image ID = 14192, Image Name = line_sudoku_00033.png, Width = 774, Height = 1376
Project ID = 1192, Project Name = CV2019_PROJECT_TEAM04, Image ID = 14183, Image Name = line_1277388031Image000034.png, Width = 1120, Height = 840
Project ID = 1192, Project Name = CV2019_PROJECT_TEAM04, Image ID = 14174, Image Name = line_soccer_00190.png, Width = 1320, Height = 720
Project ID = 1192, Project Name = CV2019_PROJECT_TEAM04, Image ID = 14172, Image Name = line_sudoku_00030.png, Width = 774, Height = 1376
Project ID = 1192, Project Name = CV2019_PROJECT_TEAM04, Image ID = 14169, Image Name = line_1277104458Image000046.png, Width = 1120, Height = 840
Project ID = 1192, Project Name = CV2019_PROJECT_TEAM04, Image ID = 14151, Image Name = line_soccer_00175.png, Width = 1320, Height = 720
Project ID = 1192, Project Name = CV2019_PROJECT_TEAM04, Image ID = 14116, Image Name = line_sudoku_00032.png, Width = 774, Height = 1376
Project ID = 1192, Project Name = CV2019_PROJECT_TEAM04, Image ID = 14106, Image Name = line_soccer_00187.png, Width = 1320, Height = 720
Project ID = 1192, Project Name = CV2019_PROJECT_TEAM04, Image ID = 13933, Image Name = line_1277105697Image000069.png, Width = 1120, Height = 840
Project ID = 1192, Project Name = CV2019_PROJECT_TEAM04, Image ID = 13753, Image Name = line_soccer_00184.png, Width = 1320, Height = 720
Project ID = 1192, Project Name = CV2019_PROJECT_TEAM04, Image ID = 13714, Image Name = line_sudoku_00027.png, Width = 774, Height = 1376
Project ID = 1192, Project Name = CV2019_PROJECT_TEAM04, Image ID = 13610, Image Name = line_soccer_00193.png, Width = 1320, Height = 720
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 841634, Image Name = elps_eye35_2015-06-04_09-32-00-003.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 841600, Image Name = elps_eye35_2015-06-04_09-31-30-001.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 841599, Image Name = elps_eye35_2015-06-04_09-32-45-006.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 841576, Image Name = elps_eye35_2015-06-04_09-33-45-002.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 841574, Image Name = elps_eye35_2015-06-05_02-54-32-002.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 841569, Image Name = elps_eye35_2015-06-04_09-35-00-007.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 841570, Image Name = elps_eye35_2015-06-05_02-54-17-100.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 841551, Image Name = elps_eye35_2015-06-05_02-55-15-006.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 841550, Image Name = elps_eye35_2015-06-05_02-56-00-000.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 841535, Image Name = elps_eye35_2015-06-04_09-33-15-000.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 841540, Image Name = elps_eye35_2015-06-04_09-36-30-005.png, Width = 320, Height = 240
